ID,Pilih Nama Dosen,Mata Kuliah,Petemuan Ke,Tanggal,Keterangan,Lama Perkualiahan ,Materi yang diberikan 
65ebd895,"Dr. Muntu Abdullah, SE, M.Si, Ak, CA, ACPA",Akuntansi Keuangan Lanjutan II - Kelas C,14,16/06/2025,Offline,02.30.00,laporan keuangan konsolidasi-perhitungan rugi laba dan laba yang ditahan
0bbd0512,"Dr. Muntu Abdullah, SE, M.Si, Ak, CA, ACPA",Akuntansi Keuangan Lanjutan II - Kelas C,15,20/06/2025,Offline,02.30.00,laporan keuangan konsolidasi-perhitungan rugi laba dan laba yang ditahan
e6273279,"Yuli Lestari Labangu, S.E., M.Sc.",Sistem Akuntansi Keuangan Daerah - Kelas B,2,28/02/2025,Offline,02.30.00,Konsep dan Siklus Akuntansi
0dc8e378,"Dr. Muntu Abdullah, SE, M.Si, Ak, CA, ACPA",Akuntansi Keuangan Lanjutan II - Kelas C,16,26/06/2025,Online,02.30.00,Ujian Akhir Semester
aa80169b,"Yuli Lestari Labangu, S.E., M.Sc.",Sistem Akuntansi Keuangan Daerah - Kelas B,3,07/03/2025,Offline,02.30.00,Pelaporan Keuangan Pemerintah Daerah
82bdc1a3,"Yuli Lestari Labangu, S.E., M.Sc.",Sistem Akuntansi Keuangan Daerah - Kelas B,4,14/02/2025,Offline,02.30.00,Gambaran Umum Sistem Akuntansi Pemerintah Daerah
292f2a1e,"Yuli Lestari Labangu, S.E., M.Sc.",Sistem Akuntansi Keuangan Daerah - Kelas B,5,21/03/2025,Offline,02.30.00,Kebijakan Sistem Akuntansi Keuangan Daerah
4d87d4d7,"Fitriaman, SE., MSA, Ak, CSRS, CSRA, CRA, CIISA",Metodologi Penelitian - Kelas C-22,9,24/04/2025,Offline,02.30.00,Review Materi
d378202e,"Yuli Lestari Labangu, S.E., M.Sc.",Sistem Akuntansi Keuangan Daerah - Kelas B,6,11/04/2025,Offline,02.30.00,Prosedur Sistem Akuntansi keuangan daerah
52aaa805,"Yuli Lestari Labangu, S.E., M.Sc.",Sistem Akuntansi Keuangan Daerah - Kelas B,7,21/04/2025,Offline,02.30.00,Sistem Akuntansi SKPD
26372d70,"Yuli Lestari Labangu, S.E., M.Sc.",Sistem Akuntansi Keuangan Daerah - Kelas B,8,25/04/2025,Offline,02.30.00,UTS
39fc7aa9,"Fitriaman, SE., MSA, Ak, CSRS, CSRA, CRA, CIISA",Metodologi Penelitian - Kelas C-22,10,08/05/2025,Offline,02.30.00,Hakikat Penelitian Kualitatif
ce9da5c2,"Fitriaman, SE., MSA, Ak, CSRS, CSRA, CRA, CIISA",Metodologi Penelitian - Kelas C-22,11,15/05/2025,Offline,02.30.00,Konsep Dasar Fenomenologi
57577173,"Dr. Intihanah, SE, M.Si, QIA",Sistem Pengendalian Manajemen - Kelas B,1,18/02/2025,Offline,02.30.00,Pemberian RPS dan Penyampaian metode Pembelajaran
6dbab3bf,"Fitriaman, SE., MSA, Ak, CSRS, CSRA, CRA, CIISA",Metodologi Penelitian - Kelas C-22,12,22/05/2025,Offline,02.30.00,Paradigma Metodologi Penelitian
553c50ea,"Dr. Intihanah, SE, M.Si, QIA",Sistem Pengendalian Manajemen - Kelas B,2,25/02/2025,Offline,02.30.00,Pengambilan Keputusan Dan Perilaku Organisasi
dcc343c5,"Dr. Intihanah, SE, M.Si, QIA",Sistem Pengendalian Manajemen - Kelas B,3,04/03/2025,Offline,02.30.00,Pusat Pertanggung Jawaban - Pusat Biaya
9ca5dc01,"Fitriaman, SE., MSA, Ak, CSRS, CSRA, CRA, CIISA",Metodologi Penelitian - Kelas C-22,13,22/05/2025,Offline,02.30.00,Perspektif Sosiologis Riset Kualitatif
93e7e30e,"Dr. Intihanah, SE, M.Si, QIA",Sistem Pengendalian Manajemen - Kelas B,4,11/03/2025,Offline,02.30.00,Pusat Pertanggung Jawaban – Pusat Laba
d177b495,"Fitriaman, SE., MSA, Ak, CSRS, CSRA, CRA, CIISA",Metodologi Penelitian - Kelas C-22,14,12/06/2025,Offline,02.30.00,Fenomena Riset Kualitatif
0f1430cc,"Fitriaman, SE., MSA, Ak, CSRS, CSRA, CRA, CIISA",Metodologi Penelitian - Kelas C-22,15,19/06/2025,Offline,02.30.00,Teknik Penelitian Kualitatif
e714e9f0,"Dr. Intihanah, SE, M.Si, QIA",Sistem Pengendalian Manajemen - Kelas B,5,18/03/2025,Offline,02.30.00,Pusat Pertanggung Jawaban – Pusat Anggaran
341d6dfb,"Fitriaman, SE., MSA, Ak, CSRS, CSRA, CRA, CIISA",Metodologi Penelitian - Kelas C-22,16,26/06/2025,Online,02.30.00,Ujian Akhir Semester
