ID,Pilih Nama Dosen,Mata Kuliah,Petemuan Ke,Tanggal,Keterangan,Lama Perkualiahan ,Materi yang diberikan 
49c76260,"Adha Mashur Sajiah, M.Eng.",Sistem dan Teknologi Informasi - Kelas C,1,17/09/2025,Offline,1 Jam 30 Menit,Pembahasan RPS dan materi teknologi informasi
513bb3f5,"Adha Mashur Sajiah, M.Eng.",Sistem dan Teknologi Informasi - Kelas C,2,24/09/2025,Offline,1 Jam,Microsoft Word
9b011158,"Adha Mashur Sajiah, M.Eng.",Sistem dan Teknologi Informasi - Kelas C,3,01/10/2025,Offline,1 Jam 30 Menit,Microsoft Word
c7cb5b18,"Adha Mashur Sajiah, M.Eng.",Sistem dan Teknologi Informasi - Kelas C,4,09/10/2025,Offline,1 Jam 30 Menit,Microsoft Excel
ae280930,"La Ode Akhiri Zulzaman, S. Pd., M. Pd.",Bahasa Indonesia - Kelas C,3,02/10/2025,Offline,1 Jam 30 Menit,Presentasi Materi Ejaan Bahasa Indonesia
04c0d6e6,"La Ode Akhiri Zulzaman, S. Pd., M. Pd.",Bahasa Indonesia - Kelas C,4,09/10/2025,Offline,1 Jam 30 Menit,Presentasi Materi Ejaan Bahasa Indonesia
830427eb,"Si Made Ngurah Purnaman, S.Ak, M.Ak",Statistik Ekonomi - Kelas C,3,10/10/2025,Offline,1 Jam 30 menit,Penyajian Data Dalam Bentuk
48f3dc9f,"Prof. Dr. Wali Aya Rumbia. SE., MSi.",Statistik Ekonomi - Kelas A,6,11/10/2025,Offline,30 menit,Mengirim materi ppt
51dc1359,"Dr. Intihanah, SE, M.Si, QIA",Pengantar Akuntansi I - Kelas C,6,13/10/2025,Offline,1 Jam 30 Menit,Sistem Akuntansi
01b1beab,"Dr. Emillia Nurdin, S.E., M.Si.",AKUNTANSI KEUANGAN LANJUTAN 1 - Kelas A,6,13/10/2025,Offline,2 jam 30 menit,penjualan angsuran
e1e54d2b,"Prof. Dr. H. Arifuddin, SE, M.Si, Ak, CA, ACPA, CTA",Pengantar Akuntansi I - Kelas A,4,14/10/2025,Offline,1 jam,Jurnal Penyesuaian
06aec00f,"Prof. Dr. Rosnawintang, S.E., M.Si.",Statistik Ekonomi - Kelas B,6,14/10/2025,Offline,2 Jam,Diskusi membahas materi sebelumnya
d475e548,"Dr. H. Saemu Alwi, SE., MS.",Pengantar Ilmu Ekonomi - Kelas C,5,14/10/2025,Offline,30 Menit,Elastisitas Penawaran
f94ad221,"Wa Ode Reni, S.Pd., M.H.",Pancasila - Kelas C,5,13/10/2025,Online,30 Menit,Historis Pendidikan Pancasila
9be4935f,"Prof. Dr. La Ode Muhammad Harafah, S.E., M.Si",Pengantar Ilmu Ekonomi - Kelas A,6,14/10/2025,Offline,1 jam,Elastisitas dan Pengangguran
6d09091b,"Adha Mashur Sajiah, M.Eng.",Sistem dan Teknologi Informasi - Kelas C,5,15/10/2025,Offline,1 Jam 30 Menit,Microsoft Excel
a477c4d9,"Vina Olivia Pebrianty, SE., ME",Pengantar Bisnis - Kelas C,7,16/10/2025,Offline,1 Jam,Manajemen Keuangan
93aa92a2,"Prof. Dr. H. Arifuddin, SE, M.Si, Ak, CA, ACPA, CTA",Pengantar Akuntansi I - Kelas A,5,15/10/2025,Offline,1 jam 30 menit,Jurnal penutup
6818867b,"La Ode Akhiri Zulzaman, S. Pd., M. Pd.",Bahasa Indonesia - Kelas C,5,16/10/2025,Offline,1 Jam,Presentasi Materi Bahasa Indonesia Ragam Bahasa
0dc0b5c9,"Dr. Intihanah, SE, M.Si, QIA",Pengantar Akuntansi I - Kelas C,6,20/10/2025,Offline,2 Jam,UTS
dd4515d5,"Wa Ode Reni, S.Pd., M.H.",Pancasila - Kelas C,5,20/10/2025,Offline,1 Jam,Undang Undang Dasar 1945
abd88a78,"Prof. Dr. Rosnawintang, S.E., M.Si.",Statistik Ekonomi - Kelas B,7,21/10/2025,Offline,2 Jam,Bentuk Regresi Sederhana dan Berganda
dc33aa4a,"Dr. H. Saemu Alwi, SE., MS.",Pengantar Ilmu Ekonomi - Kelas C,6,21/10/2025,Offline,1 Jam,Kerja sama Internasional
d3780eeb,"Yulius Tandi Sapan, SS., M.Hum.",Bhs. Inggris & Bhs Asing Lainnya - Kelas C,6,22/10/2025,Offline,1 Jam,Technology
8aa7e43e,"Prof. Dr. H. Arifuddin, SE, M.Si, Ak, CA, ACPA, CTA",Pengantar Akuntansi I - Kelas A,6,21/10/2025,Offline,2 jam,Tugas Laporan Keuangan
0f94392a,"Prof. Dr. Wali Aya Rumbia. SE., MSi.",Statistik Ekonomi - Kelas A,7,21/10/2025,Offline,1 jam,MID
bd9c6a90,"La Ode Akhiri Zulzaman, S. Pd., M. Pd.",Bahasa Indonesia - Kelas C,6,23/10/2025,Offline,1 Jam,Presentasi Materi Pemilihan Kata
27b97b9d,"LA ODE MUHAMMAD SAUM FASIHU, S.Ak., M.Ak.",Praktikum Audit - Kelas A,8,22/10/2025,Offline,1 jam 30 menit,mengerjakan UTS
7c1b8930,"Si Made Ngurah Purnaman, S.Ak, M.Ak",Statistik Ekonomi - Kelas C,4,24/10/2025,Offline,1 jam 30 menit,"cara menghitung data statistika mean, median dan modus"
182056f3,"Prof. Dr. La Ode Muhammad Harafah, S.E., M.Si",Pengantar Ilmu Ekonomi - Kelas A,7,21/10/2025,Online,1 jam,MID
4df2e411,"Dr. Muh. Nur Afiat, SE., M.Si.",Pengantar Ilmu Ekonomi - Kelas B,7,27/10/2025,Offline,1 jam 30 menit,diskusi materi teori dan konsep pasar
f4542d34,"Dr. Erwin Hadisantoso, SE, M.Si, Ak, CA, ACPA, Asean CPA",Praktikum Audit - Kelas A,9,29/10/2025,Offline,1 jam 30 menit,melanjutkan materi modul 6
ef72a1d4,"Dr. Nitri Mirosea, S.E., M.Si., MA.",Pengantar Akuntansi I - Kelas C,7,27/10/2025,Offline,1 Jam 30 Menit,Akuntansi untuk Perusahaan Dagang
18609e5f,"Wa Ode Reni, S.Pd., M.H.",Pancasila - Kelas C,6,27/10/2025,Offline,1 Jam,UTS
2c14b25b,"Prof. Dr. Rosnawintang, S.E., M.Si.",Statistik Ekonomi - Kelas B,8,28/10/2025,Offline,1 Jam 30 Menit,UTS
3ef145b3,"Adha Mashur Sajiah, M.Eng.",Sistem dan Teknologi Informasi - Kelas C,5,15/10/2025,Offline,1 Jam 30 Menit,Microsoft Excel
44c2cc8d,"Dr. Muhamad Saleh, S.Pd., M.Pd",Pancasila - Kelas A,5,29/10/2025,Offline,1 jam 10 menit,Pancasila Sebagai Dasar Negara
4169113e,"Vina Olivia Pebrianty, SE., ME",Pengantar Bisnis - Kelas C,8,30/10/2025,Offline,1 Jam 30 Menit,Presentasi tugas dan UTS
ff029cac,"La Ode Akhiri Zulzaman, S. Pd., M. Pd.",Bahasa Indonesia - Kelas C,7,30/10/2025,Offline,30 Menit,Presentasi materi Pembentukan dan Perluasan Kalimat
7b406e03,"Dr. Eliyanti Agus Mokodompit, SE., M.Si.",Pancasila - Kelas E,3,30/09/2025,Online,2 jam,Presentasi kelompok 3 tentang sila ke dua yaitu kemanusiaan yang adil dan beradab
bf9a40fe,"La Ode Muhammad Arfan Samrin, S.E., M.Ak.",Statistik Ekonomi - Kelas E,4,03/10/2025,Offline,2 jam,Membahas tentang penyajian data statistik
5999fda1,"Vina Olivia Pebrianty, SE., ME",Pengantar Ilmu Ekonomi - Kelas E,4,06/10/2025,Offline,1 jam 50 menit,Membahas tentang teori perilaku konsumen
0b319ea7,"La Ode Muhammad Bahtiar Aksara, S.T., M.T.",Sistem dan Teknologi Informasi - Kelas E,4,06/10/2025,Online,1 jam,Di beri tugas makalah
56688991,"Dr. Tuti Dharmawati, SE, M.Si, Ak, QIA, CA, ACPA, CRMP, CMA",Pengantar Akuntansi I - Kelas E,5,07/10/2025,Offline,2 jam 30 menit,Membahas tentang menyelesaikan siklus akuntansi
51e27e9f,"Satira Yusuf, SE., M.Si.",Pengantar Bisnis - Kelas E,4,08/10/2025,Offline,2 jam,Presentasi kelompok 1 yaitu konsep dan bisnis
ce89bb34,"Mansyur M., S.Pd., M.Pd.",Bahasa Indonesia - Kelas E,5,08/10/2025,Offline,1 jam 30 menit,Presentasi kelompok 5 yaitu mengidentifikasi teks eksposisi
e768d436,"La Ode Muhammad Arfan Samrin, S.E., M.Ak.",Statistik Ekonomi - Kelas E,5,10/10/2025,Offline,2 jam,Membahas penyajian data statistik ekonomi
220a491f,"Vina Olivia Pebrianty, SE., ME",Pengantar Ilmu Ekonomi - Kelas E,5,14/10/2025,Offline,1 jam 50 menit,Membahas tentang teori produksi
437cb245,"La Ode Muhammad Bahtiar Aksara, S.T., M.T.",Sistem dan Teknologi Informasi - Kelas E,5,13/10/2025,Online,1 jam,Memberikan tugas makalah
610c0bca,"Dr. Tuti Dharmawati, SE, M.Si, Ak, QIA, CA, ACPA, CRMP, CMA",Pengantar Akuntansi I - Kelas E,6,14/10/2025,Offline,2 jam,Membahas tentang sistem akuntansi
0da8a2ba,"Dr. Eliyanti Agus Mokodompit, SE., M.Si.",Pancasila - Kelas E,5,14/10/2025,Online,2 jam,Presentasi kelompok 4 tentang sila ke 3 yaitu persatuan Indonesia
6ec71777,"Satira Yusuf, SE., M.Si.",Pengantar Bisnis - Kelas E,5,15/10/2025,Online,2 jam 30 menit,Presentasi kelompok 2 yaitu  lingkungan bisnis dan kelompok 3 yaitu etika bisnis
c0301642,"Mansyur M., S.Pd., M.Pd.",Bahasa Indonesia - Kelas E,6,15/10/2025,Offline,1 jam 30 menit,Presentasi kelompok 3 yaitu narasi dan kelompok 4 yaitu persuasif
4368afa3,"La Ode Muhammad Arfan Samrin, S.E., M.Ak.",Statistik Ekonomi - Kelas E,6,17/10/2025,Offline,2 jam,Latihan soal statistik penyajian data tentang poligon
f4b36755,"Wawan Cahyadin, S.Pd., M.Hum",Bhs. Inggris & Bhs Asing Lainnya - Kelas E,4,17/10/2025,Offline,1 jam 30 menit,Membahas tugas pre-toefl exercise
2afb66ae,"La Ode Muhammad Bahtiar Aksara, S.T., M.T.",Sistem dan Teknologi Informasi - Kelas E,6,20/10/2025,Online,1 jam,Memberikan tugas makalah
374bcd4e,"Dr. Tuti Dharmawati, SE, M.Si, Ak, QIA, CA, ACPA, CRMP, CMA",Pengantar Akuntansi I - Kelas E,7,21/10/2025,Offline,2 jam,MID
5b24d026,"Dr. Eliyanti Agus Mokodompit, SE., M.Si.",Pancasila - Kelas E,6,21/10/2025,Online,2 jam,Presentasi kelompok 5 tentang sila ke 4 yaitu kerakyatan yang di pimpin oleh hikmat kebijaksanaan dalam permusyawaratan/perwakilan dan di berikan tugas
dbba2847,"Vina Olivia Pebrianty, SE., ME",Pengantar Ilmu Ekonomi - Kelas E,6,22/10/2025,Offline,50 menit,MID
5e25abf3,"Satira Yusuf, SE., M.Si.",Pengantar Bisnis - Kelas E,6,22/10/2025,Online,1 jam 30 menit,Presentasi kelompok 4
e2f891ae,"Mansyur M., S.Pd., M.Pd.",Bahasa Indonesia - Kelas E,7,22/10/2025,Offline,1 jam 30 menit,Presentasi kelompok 1 yaitu wacana argumen dan kelompok 2 yaitu deskripsi
6b9172cc,"La Ode Muhammad Arfan Samrin, S.E., M.Ak.",Statistik Ekonomi - Kelas E,7,24/10/2025,Offline,2 jam,Membahas tentang latihan soal penyajian data secara kurva ogive
83df9a8e,"Wawan Cahyadin, S.Pd., M.Hum",Bhs. Inggris & Bhs Asing Lainnya - Kelas E,5,24/10/2025,Offline,1 jam 30 menit,Di berikan tugas
911d9af4,"Prof. Dr. Drs. M. Natsir, M.Si.",Pengantar Ilmu Ekonomi - Kelas E,8,27/10/2025,Online,1 jam 30 menit,Membahas tentang Macroeconomics
16819440,"La Ode Muhammad Bahtiar Aksara, S.T., M.T.",Sistem dan Teknologi Informasi - Kelas E,7,27/10/2025,Online,1 jam,Di berikan tugas
faa01f3d,"Safaruddin, SE., M.S.A, Ak, CA",Pengantar Akuntansi I - Kelas E,8,28/10/2025,Offline,1 jam 30 menit,Membahas tentang laporan keuangan
b1c53757,"Dr. Eliyanti Agus Mokodompit, SE., M.Si.",Pancasila - Kelas E,7,28/10/2025,Online,2 jam 30 menit,Presentasi kelompok 6 tentang sila ke 5 yaitu keadilan sosial bagi seluruh rakyat Indonesia
a7d45aaf,"Satira Yusuf, SE., M.Si.",Pengantar Bisnis - Kelas E,7,29/10/2025,Offline,2 jam 30 menit,MID
4b426aa1,"Mansyur M., S.Pd., M.Pd.",Bahasa Indonesia - Kelas E,8,29/10/2025,Offline,1 jam 30 menit,MID
7d98a6bf,"Si Made Ngurah Purnaman, S.Ak, M.Ak",Statistik Ekonomi - Kelas C,6,31/10/2025,Offline,2 jam,membahas materi kuartil desil presensetil dan rata-rata ukur dan harmonis
be46e973,"La Ode Muhammad Arfan Samrin, S.E., M.Ak.",Statistik Ekonomi - Kelas E,8,31/10/2025,Offline,2 jam,Penyajian tabel distribusi frekuensi
